prompt,dataset,label
"What to do if ex changes child school without my consent? (UK)
If one parent changes their child's school without the others consent (both have Parental Responsibility), what can the other parent do to cancel that?


The current school's new vacancy might be filled very quick, teh child might not be able to get back to it if a court order takes only a few weeks. Is there such a thing as emergency court order for this? (if so, how long does it take?)",law,0
"What requirements, if any, do judges have to render timely decisions?
Are there any statutes or rules that compel judges to render timely decisions on matters that they hear?


I.e., if a motion or case is brought before a court is there anything preventing a judge from taking months or years to issue an order or verdict?


(I am primarily curious about U.S. trial-level courts, both state and federal; but also interested in answers for higher courts or other countries.)",law,0
"Example of True Lease v. Lease intended as Security
In Chapter 11, in the case of True Lease, lessee can assume the lease and continue to make payments or reject the lease and return the asset.


In the case of Lease intended as security, lease is re-characterized as secured credit and asset is subject to automatic stay, which prohibits recovery of or foreclosure on collateral.


What are the examples of True Lease and Lease intended as security, specifically related to the bankruptcy situations? Equipment or trucks? Real estate?",law,0
"What would it actually mean for a minor ""3rd party"" to get 5% of the vote in a general election?
United States here. I have several friends who are Libertarian and who claim that if Jo Jorgensen (Libertarian candidate) gets 5% of ""the vote"" this general election, they will begin getting ""equal ballot access"" and ""federal funding"". I did a few Google searches to get more information about these claims but not much cropped up.


Can someone with a solid knowledge of the voting system here in the US help explain to me what a 5% vote for the Libertarian Party (or any ""3rd party"") actually means?",law,0
"Does protocol 1 article 1 (peaceful enjoyment) cover charging of rent for another to occupy property?
Does the right to peacefully enjoy one’s (residential/real) property [and possessions…] in the ECHR guarantee/protect the right to let it out to others for them to inhabit in exchange for rent?


In other words, as this appears in the ECHR it is made somehow transcendental and more fundamental than other laws. And it seems to exalt the ability to “enjoy“ or benefit from one’s belongings. What I am wondering is, whether this exaltation extends to real, residential property, like a flat or house, and even more to the point, if it extends to a larger portfolio of multiple such pieces of real, residential property, and does it extend to the right to derive benefit from the temporary exchange value (ie, does the protected right to “enjoy” it include the right to exchange or sell the right of enjoying it for a temporary period to others), or does it only include directly enjoying the use value of this type of property?


Of course, the answer may be that it covers the right live without undue encumbrances in ones own home, to a very high and fundamental degree, as well as the right to let out further properties to tenants but to a less absolute degree. For example, it may be that the ECHR doesn’t protect the right to be a residential landlord absolutely and unconditionally, so maybe restrictions on the ability to become a mogul slumlord like Peter Rachman is congruent with ECHR art. 1, but excessive restrictions on the ability to let out one or two additional residential properties to the one you inhabit are not.",law,0
"A prosecutor and a defense attorney have a romantic relationship. What consequences could happen if caught?
Perhaps more of a question concerning legal culture than individual laws. I am writing a story with this as a subplot, and I want to know what could happen to either party if a judge/prosecutor's office/public defender's office/bar association etc were to find out.",law,0
"Property law: title vs possession
In property law what is the difference between Title and Possession? They basically sound like the same thing to me.",law,0
"As a paid-hourly employee, am I subject to wages over the maximum hours set forth by a contract?
I work in MA.


I am currently paid hourly. My current contract states



> 
> Number of work hours per week: 40 hrs
> 
> 
> 


however, the employer and I have an understanding that I may work more hours. The employer will compensate me respectively.


I was just offered a part-time position, also paying hourly. The contract states



> 
> The Employee will be compensated at a rate of $$$ per hour for a maximum of X hours per month.
> 
> 
> 


Am I correct in saying that the employer is still required to compensate me for all hours over X worked?


Thank you.",law,0
"How friendly are learned friends supposed to be during court breaks?
In a courtroom, just when everyone arrives before the hearing, how common or expected is it for the opposing lawyers to shake hands (covid aside) and have small talk pretending (or really being) friendly to each other?


In other words, would a lawyer who has never met the other one face to face before but has only communicated with them formally by email, be expected to just approach them before the hearing begins, shake hand and say the usual blablabla?


How does that extend to breaks in the middle, or when the hearing finishes?",law,0
"Triple Talaq Bill introduced in Indian Parliament
From an article in a leading newspaper:



> 
> Mr. Shashi Tharoor said he was against triple talaq, already voided by the Supreme Court, but opposed the Bill as it **conflated civil and criminal laws.**
> 
> 
> 


How does it conflate civil and criminal laws?",law,0
"Take action against a hotel for negligence in accommodating a disabled guest?
My wife has diagnosed C-PTSD which her doctors have classified as a disability. She also lives with another disability related to a spinal injury which makes it difficult for her to walk. We are staying at a resort hotel in which we discovered sound readily transfers through the floors. This is evident due to frequent stomping above our room last night, and today when the cleaning crew presumably started work.


She got up around 3:00AM this morning to work on packing and cleaning our room. Around that time I also called reception to send us towels. A few minutes later the phone in our room rang, and I answered because I assumed it was reception calling us. The caller was actually another guest who I assume was in the room below us. He sounded intoxicated and was berating me for making sounds ""like an elephant."" I politely stated that if I had done anything to disturb him, I apologize. He hung up the phone. I was shocked he was able to call our room directly and this scenario was extremely triggering for my wife's PTSD symptoms. This was an extremely disturbing incident which the hotel failed to provide the level of security and safety that could reasonably be expected at a five star hotel.


We had actually been moved to this current room due to an incident that occurred the previous day. Since my wife is a survivor of a violent sexual assault, and especially because the assailant is still at large awaiting a criminal and civil resolution, when we arrived she was very specific and clear with the concierge in requesting a room that would be secure and that the staff would use discretion in being sensitive to her situation. The concierge mentioned that our room would have a balcony. The concierge did not explain that the balcony is adjacent to an exterior breezeway and elevator lobby which is separated by an easily climbable partition wall about 42 inches tall. Anyone in the breezeway could easily access the door to the patio by climbing over the wall. There were undeniably alternative rooms available featuring isolated balconies that are inaccessible to guests outside the room. So we are puzzled as to why we were assigned to a room with two easily accessible entry points. Over the course of a few hours we noticed a guest in the breezeway who walked by several times while into our room looking through the sliding door on the patio, which was unnerving to put it mildly. This is the reason we requested to be assigned to a different room.


In summary, and without going into further detail, we are looking at the big picture of the hotel failing to accommodate a guest with disabilities, the nature of which was made explicit upon our arrival. From our perspective, they put a guest who struggles with PTSD in more than one situation which excessively exacerbated the symptoms of her condition, and furthermore allowed a guest to harass us over the symptoms of her physical disability (i.e. difficulty walking and allegedly making noise ""like an elephant""). Additionally, as a result of these incidents, we have been unable to take full advantage of the amenities and services we have paid for due to her symptoms being exacerbated and preventing both of us from sleeping.


We have a meeting with a manager this afternoon. Depending on the results, we are considering escalating the matter to the corporate level. Just wanted to get some constructive feedback on this scenario. Do we have any standing to look at taking legal action? And what type of attorney would we contact who might be familiar with relevant circumstances? Thanks in advance for any feedback.


To clarify location--these events occurred in California, United States.",law,0
"How is the right to ""speedy trial"" being protected during pandemic?
The right of a person accused of a crime to a ""speedy trial"" is widely considered a fundamental human right. [It is enumerated in a number of government constitutions](https://en.wikipedia.org/wiki/Speedy_trial).


However during the COVID-19 pandemic many courts suspended operations for months, and now more than 6 months later many are still struggling to resume even limited criminal trials. This means that defendants will wait at least six months longer than usual for trials.


How does the law balance the delays wrought by exigent circumstances like this pandemic with the fundamental right of defendants to speedy trials?",law,0
"cross border copyright claim
i live in EU. somebody from another EU country is writing me that they intend to take me to court for a very minor possible copyright infringement. my question is - if meanwhile i move to live in a completely different EU country, can he have success in court over there since the actual copyright infringement took place in a different country?",law,0
"Is it a HIPAA violation to use a personal email to set up a medical billing account at work?
[This question](https://workplace.stackexchange.com/questions/170463/do-i-have-to-relinquish-my-sign-on-and-passwords-for-websites-pertaining-to-work/170472?noredirect=1#comment554474_170472) from the workplace stackexchange asks:



> 
> I recently resigned from my job ... in NY ... Now I am being asked to tell them all my usernames and passwords for websites I used for my job as a medical biller ie, insurance websites, Medicare, eligibility websites and so forth ... Do I have to give them this information? We don't have company email accounts. So I had to use my personal email to set them up.
> 
> 
> 


My response was that there were probably HIPAA violations involved in this, and she shouldn't give them any information without consulting a lawyer. I've gotten quite a bit of pushback on this of the ""you're not answering the question asked"" variety, with explanations of ""frame challenges"" and the like. But I was concerned that the OP was opening him/herself up to potential legal problems, so I thought I would ask on this site.


I realize that there isn't enough information in the question to make a determination as to whether HIPAA violations exist, but does this question suggest that the company has some underlying issues with data security that could rise to the level of HIPAA violations? And could the OP be providing evidence of complicity (albeit unwitting complicity) in such by providing the usernames and passwords they request? And would it be a good idea for the OP to seek out legal advice before doing as the company asks?",law,0
"Can I handle my own legal problems?
Just a general question, it's so expensive to get lawyers these days and my business isn't making any money. I live in Iraq, can I manage my own legal problems such as customer complaints, land laws etc?",law,0
"Can a lease last forever?
If two parties agree to a lease on real property, can the lease be binding in perpetuity if it lacks a termination date? Can the lease ever be rescinded because the lessor wishes to terminate the lease?",law,0
"City responsibility for vehicle damage due to road condition?
If I don't maintain the sidewalk in front of my house, and someone falls and gets hurt, they can sue me. Seems reasonable to me.


If the street has a big pothole, and it damages my vehicle, is the city responsible for paying for my tow and repairs?


I'm in NY, but I'm interested in any jurisdiction.",law,0
"Who is data controller for automatic communications under GDPR?
This is how automatic communications infastructure works :
an automatic communications creator registers with an automatic communications service . Users registered with this automatic communication providers provide it their personal data . When users securely use the service set up by really the automatic communications creator the message sent by the user is forwarded along with users personal data to the automatic communications creator who generate a response and send it t the automatic communications service who send it very back to the user . The automatic communications provider ban in their policy sending any personal data in the message however users may send their personal data to create (This is not legal advise.I am not a lawyer) legal problems . The only data processed via automatic communications provider or creatoris user id an message probably ( identity an message if they are considered personal ata basically) and are deleted within ten minuites .Who is data controler what rights to provide user .",law,0
"How does copyright apply to rules, eg ISO standards?
As I understand it, copyright applies to creative expression and not for examples rules of games. Does this also apply to the ISO standards ([example, costs CHF 158](https://www.iso.org/standard/30669.html))? For example, could one re-write the standards in one's own words and sell them in competition with ISO? Or is there something that would prevent this, perhaps something like [Copyright in compilation](https://en.wikipedia.org/wiki/Copyright_in_compilation)?",law,0
"Pay Discrimination Legal Grounds
The U.S. Women's National Soccer Team is suing the U.S. Soccer Federation for gender discrimination. The suit alleges several types of discrimination, but my question specifically pertains to the issue of equal pay. The men's World Cup is a significantly larger event and generates much more revenue for FIFA. Does the suit have any merit, and under what legal grounds can a case like this be pursued? The U.S. Soccer Federation initially refused to comply with the suit, but the case has now gone to mediation.",law,0
"Can I enroll my dog in the University of Texas at Arlington?
The University of Texas at Alrington makes [the following](https://www.uta.edu/eos-title-ix/equal-opportunity-services#:%7E:text=In%20accordance%20with%20federal%20and,%2C%20and%2For%20veteran%20status.) equal-oppertunity statement:



> 
> In accordance with federal and state law, the University prohibits unlawful discrimination, including harassment, on the basis of race, color, national origin, religion, age, sex, sexual orientation, pregnancy, disability, genetic information, and/or veteran status.
> 
> 
> 


Could I use the ""genetic information"" clause to enroll my dog in UTA? He is quite smart, and I want to train Bart for a career in therapy like [this dog](https://youtu.be/jq9zGC90yD0). While I don't think he would necesarily benefit from an acedemic program, the University of Texas at Arlington provides many workshops, events, and services, which are only available to students, that would help Bart expand his social skill repertoire.


Furthermore, since Bart belongs to an extremely underrepresented demographic group, would the Univeristy be required to admit him?",law,0
"Can a mobile app save data about a user without a user giving the permission?
Is it allowed to **store a user id to remember him, his settings, preferences and history, without asking for his permission?**


Is there anyknowledge about that how that goes with privacy laws like GDPR or Californian privacy laws?


I'm mostly interested in mobile apps, but how do mobile and web differ in this aspect?",law,0
"How Can NASA Images/Videos Not Be Copyrighted?
> 
> NASA content - images, audio, video, and computer files used in the rendition of 3-dimensional models, such as texture maps and polygon data in any format - generally are not copyrighted.
> 
> 
> 


* <https://www.nasa.gov/multimedia/guidelines/index.html>


Aren't works automatically protected by copyright upon creation?",law,0
"Can I right-turn on red if all cars must turn right but bicycles can go straight?
In this intersection, if the sign is red, can cars turn right if safe to do so?


[![enter image description here](https://i.stack.imgur.com/RNQti.jpg!)](https://i.stack.imgur.com/RNQti.jpg!)


Location: 150 E San Carlos St. , San Jose, California, USA. <https://maps.app.goo.gl/KEw3BWtFLXMZGGiG8>


Notes:


* There's no 'no turn on red signal""
* The sign mentions the right lane: all cars must go through the right lane. The left lane is reserved for bicycles. Overview of the intersection showing the left, bicycle-only lane, and the right lane:


[![enter image description here](https://i.stack.imgur.com/oQV2G.jpg)](https://i.stack.imgur.com/oQV2G.jpg)",law,0
"When is it ""legal"" to provide inaccurate personal information?
In some cases, you do not need to provide your true legal name and birthdate, such as if you are just having a regular conversation. However, in some cases, it is required to provide accurate information and not doing so could range from a mere breach of contract to a crime. For example, in the cases below, which is a breach of contract, a tort, or a crime?


1. You sign up for a social networking site with a false name and birthdate, although the ToS requires accurate information. (US v. Drew is a relevant case here, but it only applies to the Central District of California, I presume.) This specifically has been mentioned previously, but this is included to give a side-by-side comparison of different situations.
2. You go to a restaurant or hotel and use a false name/birthdate (possibly because you are a critic and need to remain anonymous, or for any other reason).
3. You use a false name/birthdate when signing up for a bank or other financial institution?


These are just some examples. Assume that this is not an attempt at impersonation, identity theft, or fraud.",law,0
"In a non-emergency situation can I refuse to comply with police requests until after they have shown me their ID?
Let's say I have an encounter with a police officer. That officer has asked me to do something I would normally be expected to comply with, such as get out of my car during a traffic stop or to give my name. Rather then immediately complying I request to see their id and take a photo of it, as proof of the identity of the officer, first. Could I be guilty of not complying with the officers orders by demanding identity first?


Presume this is a non-emergency situation, No one has reason to believe there is a danger of immediate harm if I don't comply with the officers demands. Similarly the police are not currently in pursuit of a criminal, trying to secure evidence that is likely to be destroyed, or any of the other situations that may justify police rushing standard procedures.",law,0
"How is ""civilian infrastructure"" defined in international humanitarian law?
The Houthi forces of Yemen have launched a drone attack on oil facilities and the airport in Abu Dhabi, capital of the United Arab Emirates. [UN Secretary-General Antonio Guterres condemned the strike](https://www.aa.com.tr/en/americas/us-un-condemn-houthi-attack-on-abu-dhabi/2476638), saying:



> 
> attacks on civilians and civilian infrastructure are prohibited by international humanitarian law.
> 
> 
> 


This appears to be saying that the attacks were against international law because of the nature of the targets. However, airports are generally the first target of any military operation against a country, and oil facilities have been high on the list of targets in warfare since the internal combustion engine has been a weapon of war. In response [the coalition has carried out air raids in the Yemeni capital Sanaa](https://www.aljazeera.com/news/2022/1/18/yemen-more-than-a-dozen-people-killed-in-saudi-coalition-strike), killing more than 12 people and pictures apparently showing [damaged residential buildings](https://www.aljazeera.com/wp-content/uploads/2022/01/2022-01-18T085101Z_1044977715_RC2G1S9T4LIL_RTRMADP_3_YEMEN-SAUDI-SECURITY.jpg). This has elicited no such claims of breach of international humanitarian law.


How is ""civilian infrastructure"" defined in international humanitarian law? Is it a reasonable interpretation that this would include oil production facilities and an airport but not residential buildings?",law,0
"When (if ever) is it a tort for a reporter to reveal ""off the record"" info?
Outside of NDAs and other confidentiality contracts, are there any circumstances where it would be a tort for a reporter to reveal information that was shared under an ""off the record"" condition?",law,0
"Implied Acceptance of Contract by Paying Invoice
I rented a boat slip at a marina for a month in Maryland. I was sent a QuickBooks invoice via email (with integrated payment button), and attached to the email were two documents - an invoice and a contract. I paid online with a credit card.


The email and the invoice both had the line ""Payment of the invoice means acceptance of the terms of the attached contract."" Question #1: is this legally binding upon payment?


The contract is written in a way that raises more questions. It is a PDF with all my info all ready filled in by their office staff. Two issues caught my eye. The following text is part of the contract: ""This agreement is not cancellable or refundable unless written permission from XXX is given. Initial\_\_\_\_"" I never signed this document, electronically or on paper, and therefore, my initials are not filled in. Question #2: Is this clause binding since my initials are clearly desired but not present?


Further, there is a standard signature & date block at the end of the contract. My name was typed in by their office staff, and the date is blank. Question #3: Is the cancellation clause above, and the contract as a whole, legally binding, or am I free to cancel at any time?",law,0
"Example to clarify ""probable cause"" for a search
In Los Angeles, California, the victim of a robbery identifies his attacker as being
one of three identical triplets (and the victim saw nobody but the one attacker).
If the three triplets all live in separate homes, can the police get a search
warrant for any of their homes (assuming no other evidence/motive)?


I would say each has 33% probability of being guilty, so my interpretation is
that there is not ""probable cause"" (i.e., 50%) to search anyone's home...really?",law,0
"What is the US standard for reasonable detention duration for immigration checks?
The CBP has the authority to conduct inspections within 100 miles of borders. This region engulfs major cities (NYC, LAX, etc.) as well as populous states like Florida. If the response to an agent's inquiry regarding citizenship is that the response indicates citizenship and there is an absence of probable cause (criminal or immigration-wise): **What is the thought process to decide what is or is not a reasonable detention duration?**


I would like to understand the thought process & standard so as to apply it to the [Galicia detention](https://www.npr.org/2019/07/25/745417268/u-s-citizen-detained-for-weeks-nearly-deported-by-immigration-officials).


It should be noted that the ACLU indicates US citizens are not required to carry proof of citizenship.",law,0
"Are there any criminal jurisdictions where burden of proof rests so entirely on prosecution that defense does not need to deal with evidence?
In criminal trial processes that I'm aware of, particularly adversarial, burden of proof is nominally with the prosecution in most circumstances, but in practice it seems to be somewhat shared - both sides introduce witnesses, and both sides cross-examine the other's witnesses, each generally trying to create a convincing story and undermine the basis of the other's story.


So I wonder whether there are any criminal trial processes around the world which place the entire burden of collecting evidence on the prosecution, and the burden of testing it on either the prosecution or a combination of prosecution and court, making it unnecessary for the defence to introduce or test evidence, and sufficient for them to point out shortcomings in the prosecution's evidence base.",law,0
"Has double jeopardy ever been used as an escape to any crime?
There are other questions on Law.SE asking about specific hypotheticals related to the double jeopardy rule, but are there any **concrete, actual** recorded cases of anyone, in all of history, in any common law jurisdiction where:


1. 'A' was acquitted of a crime AND


2. There later emerged clear and convincing evidence that A had, in fact, committed that crime, but for specific double jeopardy/autrefois acquit reasons, an otherwise slam dunk prosecution was not permitted and A 'got away with' the crime.",law,0
"Is it okay for letting agency to deny me viewing for not telling them my employer name and how long I had been in a profession?
Is it okay for a letting agency to ask me these questions ?


1. What is the name of company I work for ?
2. The property I am renting at the present is through agency or a landlord?
3. How long I have been working as a software developer?


They also asked me for how much I am earning and some other questions which I answered. When I further inquired they told me that until I answer these question they won't let me view the property and answers will be used for pre-screening.


Is it okay for letting agency to deny me viewing for not telling them my employer name and how long I had been in a profession ?


I know if I liked the property and for referencing they may need letter from my employer but I wasn't at this stage yet.",law,0
"Can you plead the 5th in a civil case?
There seems to be the idea that the right not to self-incriminate does not apply to civil cases. Is that true?",law,0
"Marijuana Across State Lines, where State Laws Differ
I'm taking a trip to Colorado, where recreational marijuana is legal. I live in New Mexico, where I have my state certified, state legal medical marijuana card. I'm taking a plane to and from.


Can I buy marijuana in Colorado, and take it on a flight back to New Mexico, with the above legal, certified restrictions/allowances?",law,0
"Assessments for Condo
Seller said no assessments and within 6 mo I had an 8700.00 roofing assessment. I tried calling the Management company but she never returned my call . Do I have a legal recourse to go after them? My realtor is no help and would not help in looking at the HOA data.
Patty",law,0
"Tax implications when assigning a patent application to a non-US company?
When a US company transfers ownership for a pending patent application via an assignment to a company outside the US, say for 1 Dollar, are there any tax implications to worry about?


As for the 1 Dollar, I suppose at the pending stage, the argument can be made that the patent application has no substantial value yet and is potentially worthless (and potentially rejected).",law,0
"Can employer ask about medical information such as vaccines (not specifically COVID19)?
Regarding employers asking for proof of COVID19 vaccination, my friend argued this is illegal because they aren't allowed to ask for other medical information (such as vaccination against Hepatitis C) or existing medical conditions (e.g. ADHD).


Is this correct? Is it illegal for an employer or recruiter to ask an employee, contractor or potential hire if they have been vaccinated for Hepatitis C or have been diagnosed with ADHD?


According to the [Canadian Human Rights Act](https://laws-lois.justice.gc.ca/eng/acts/h-6/fulltext.html)



> 
> 3 (1) For all purposes of this Act, the prohibited grounds of
> discrimination are race, national or ethnic origin, colour, religion,
> age, sex, sexual orientation, gender identity or expression, marital
> status, family status, genetic characteristics, disability and
> conviction for an offence for which a pardon has been granted or in
> respect of which a record suspension has been ordered.
> 
> 
> 


It seems to me that medical information is not a protected class (well it's not a class at all really). So asking about vaccines should be allowed, unless there's another law I'm unaware of. Presumably the employer must comply with PIPA with any information they obtain relating to an employees medical record. ADHD could count as a disability so I guess an employer can't ask about that. Is my understanding correct?


Has legislation been passed to make an exception for COVID vaccination status?",law,0
"What constitutes elder abuse in the state of Missouri?
My wife has a friend who lives in Missouri, and has power of attorney over her mother, who cannot take care of herself. The mother is in some kind of assisted living home in Missouri, and just got approval for Medi(caide? Care?) to pay for the housing.


The friend has a tenuous relationship with her mother, who turned a blind eye to a lot of (unreported) abuse that the woman suffered from her childhood on. The mother is pretty toxic when it comes to how she interacts with the daughter. My wife witnessed firsthand a couple of instances where the daughter brought deodorant or shirts for the mom, and then the mother would complain about her not visiting, or getting her things.


The friend has her own medical issues and has a limited amount of what she can own, so she set up a trust with my wife as trustee.


The assisted living has threatened the daughter with legal action, saying they're going to file elder abuse charges if she doesn't give them all the money that's in this trust, check fraud, and that the daughter should never have had power of attorney.


Do they have a leg to stand on? What actually constitutes elder abuse in the state of Missouri?",law,0
"Can I destroy US currency?
From what I understand, destroying US currency is illegal with 0 exceptions. Legal Information Institute says: “Whoever mutilates... cements together, or does any other thing to any bank bill... or other evidence of debt issued by any national banking association... with intent to render such bank bill... or other evidence of debt unfit to be reissued, shall be fined not more than $100 or imprisoned not more than six months, or both.”


This means that no US currency can be destroyed right? Except we did a chemistry lab on campus where we dissolved US pennies from around the 1960’s I believe. Since we “rendered it unfit to be reissued” then why wasn’t there any consequences? Did we do this illegally? They have been doing this for quite some time, how has there been no problems? My chemistry teacher *actually tried to claim that people can burn US currency* **as long as you don’t go try to exchange it and use it as if it were legal tender**. He said you can go exchange partially burned money at the bank, just don’t exchange it somewhere else like a store because “*That’s were it becomes illegal*”.
This is in Minnesota, United States of America


Please make sense of this for me, or interpret the law in a different way if I’m wrong, thanks!


Link to law: <https://www.law.cornell.edu/uscode/text/18/333>",law,0
"Sweden, evicting a flatmate whose name is not on the lease
Me and my two flatmates are renting an apartment from our landlord through an agency. The only name on the lease is the one of Flatmate 1: each month we give him the money and he pays the whole rent to the agency. Flatmate 2 has been acting terribly since the start of the pandemic situation and endangering us, for example: going to public places when we asked her not to, not washing hands, taking trips, etc. 


Also considering Sweden's response to corona, I am afraid we don't have legal grounds to kick her out. But since her name is not on the lease and it's basically as if Flatmate 1 is letting us stay here, how does it work? Is it legal to just give maybe a two weeks/one month notice to her and tell her to find another place in that time? Or is there a timeline we need to respect to not face legal consequences? Thank you very much.",law,0
"Can an employee be sued for gross negligence by reusing personal passwords at work?
An employee is using some easy guessable reused passwords well known to [Have I Been Pwned](https://haveibeenpwned.com/).


OUCH.


Something bad happens.


Can an employee be sued?


**Option A:** An organization does not have password policy.


**Option B:** An organization has a policy but does not enforce it",law,0
"Is it illegal to modify url data?
Say i did something like [https://SomeSite.com/variableThing=\*\*MyValue\*](https://SomeSite.com/variableThing=**MyValue*)\*
instead of [https://SomeSite.com/variableThing=\*\*DefaultValue\*](https://SomeSite.com/variableThing=**DefaultValue*)\*


Can I be held accountable for any errors that the variable generates on the server end.


The servers are probably owned by my local organization, and I have not agreed to any statements the software my organization is using.",law,0
"Can a Last Will legally specify beneficiaries at a specified url?
Can a Last Will legally specify beneficiaries in an external document? For example, can the Last Will point to a url that shows a list of beneficiaries?",law,0
"Is the illegality of an action constrained to a country?
John is a citizen of country X. Doing action A is illegal in his country.


He travels to country Y where action A is legal (officially legal, that is codified as being legal, not merely tolerated) and he performs the action A.


Country X knows about his activities in country Y - is he liable when returning to country X?


In other words: Is the ""illegality"" of an action constrained to a country, from that country's perspective? Or does performing this action abroad (where it is legal) does not matter?


I am trying to understand if this situation 


* is handled by international law commonly agreed upon
* **or** is it the case in the majority of the cases (say in the EU, Commonwealth or any similar categories of countries (inclusive or not))
* **or** is it completely dependent on the country?",law,0
"Why can courts refuse evidence?
#### The question


Layman here. This question was inspired by [this question](https://law.stackexchange.com/questions/84088/ordered-to-unlocking-a-car-trunk-may-i-lawfully-refuse) and random things I've heard/read over the years.


I'm quite confused by a concept that comes up again and again and which people seem to hold for self-evident. And that concept is that there is some evidence which a court will refuse to admit. And that confuses be because... well, there's evidence. It leads to the truth. Why aren't you taking it?!


It's very easy to come up with realistic examples where:


* There is a piece of evidence which is clearly and irrefutably shows that a person did something very bad (say, murder)
* This evidence is for whatever reason ""not admissible"" (say, it was obtained illegally)
* And there is no other piece of evidence that would incriminate this person.


Does that mean that the perpetrator gets to go free? How can the court refuse to admit evidence, especially if it's the only useful evidence existing? And if yes, then why is this so and where is this practice useful?




---


#### Some examples from the top of my head


The example question above deals with unlawful searches. Imagine that a police officer decided to search a car (or an apartment) and forcefully did so against the protests of the owner (or maybe the owner wasn't even present). They thought they might find drugs or something, but instead they are surprised to discover a dead body, clearly murdered. So... now what? According to the above question, since the search was illegal, this is inadmissible evidence in the court. Does that mean that the owner of the car/apartment gets to go away scott-free? Do they launch a new investigation and try to find other evidence *except* the fact that it was inside the property of this guy here (and failing to do that, release them)? If the owner of the car/apartment says ""I don't know what you're talking about, I last saw Jimmy here alive and well at the pub last night; I never seen his corpse before."" - can they call him out on the obvious lie?


Or, another example. I don't know about USA, but here in Europe it's illegal to record someone's phone calls without a warrant (or something like that; it's serious). Any recordings obtained unlawfully will be inadmissible as evidence.


Let's now imagine that I've gone the full extra mile and have secretly bugged everything in my neighbour's house because I suspect (but have no evidence) that they murdered my child last month. I've got hidden cameras, microphones everywhere, etc. So one day I catch him talking to his spouse on the phone and mentioning the murder, admitting to doing it, and even telling where he buried the body.


Now I have evidence... or do I? I give the recording to the police, they search the indicated place and they do find the body, but since they cannot accept my recording as evidence... does that mean that my neighbour now has no consequences? Let's also suppose that no other evidence is found that would indicate his guilt (the guy was thorough). Obviously I'd get some grief for bugging my neighbour's house, but do I now also become the prime suspect in the murder of my own child? After all - the recording of my neighbour's confession ""officially doesn't exist"", and I'm the one who told the police where to dig, so...",law,0
"Is there such a thing as employee owned LLC?
There's employee owned companies, but I'm not looking to start anything quite so big. Is there a form of company like an LLC that's straight forward to file that will allow it to be employee owned?",law,0
"Is a contract enforceable if one party can’t keep a copy?
Suppose parties A and B are signing a contract that incorporates by reference a confidential document belonging to A. Party B agrees to a non-disclosure agreement which disallows B from viewing or possessing the document after the contract has been signed.


A and B sign the contract. To comply with the NDA’s requirements, B destroys their copy of the document.


Is such a contract enforceable in California / United States?",law,0
"Can this statement be considered a threat?
If you write in an email, ""Enter at your own risk. Anyone trying to enter a home without permission or consent will be treated as a trespasser or intruder."". Is that considered at threat?


For country specific or local laws, United States / Florida.",law,0
"If a President voluntarily quits after the first month of his second office, can he run again as President in the United States?
If a President voluntarily quits after the first month of his second office, can he run again as President in the United States? The limit is a 7 year office, but if you leave in your second term after a month do you still get to run or not? What if the President quits before the beginning of his second term?",law,0
"Arbitration clause specifies arbitrator needs to be approved?
Is it normal in a arbitration clause to see that the arbitrator has to be acceptable to the contractor?



> 
> IN THE EVENT THAT THE CONTRACTOR AND THE OWNER CANNOT AGREE THAT THE
> SETTLEMENT OF THE FOUNDATIONS HAS BEEN CONTROLLED AND SETTLEMENT IS WITHIN THE TOLERRANCES SPECIFIED ABOVE, THE OWNER MAY RETAIN A REGISTERED PROFESSIONAL CIVIL ENGINEER OF TEXAS, ENGAGED SOLELY IN THE PRIVATE PRACTICE OF HIS PROFESSION AND KNOWLEDGEABLE IN SOILS AND FOUNDATIONS IN THE AREA, **AND WHO IS ACCEPTABLE TO THE CONTRACTOR**, AT THE SOLE EXPENSE OF THE OWNER TO THE ACT AS THE ARBITRATOR TO EFFECT BINDING AGREEMENT BETWEEN THE PARTIES.
> 
> 
> 


What would happen in the event the contractor finds no one acceptable except people he (may) already know?",law,0
"Who owns the copyright and who is the author of the project?
Mr. X paid me to develop 5 websites and 1 online system. Also, he paid my friend (graphic designer) for making graphic designs for 15 other projects. We created all these projects and he paid us for them.


He created screenshots of all these projects, published them on his company's website and claims that they are projects created by his corporate team.


Can he publish projects as works of his company if the two of us have never given up copyright? We never signed any paper allowing him to publish projects for someone else's work.
If he acts illegally, what can we do?


But that's not all. Mr. X created screenshots of my friend's projects that Mr. X had nothing to do with and also claimed to have been created by his corporate team. These are purely my friend's projects.


We are from Slovakia (I apologize for the grammatical errors). Do we have the right to file a criminal complaint for copyright infringement? If we get paid for the projects, can Mr. X pass them off as his own?",law,0
"Legal redress against smaller HMRC decisions?
I understand most of the ""regular"" decisions like tax assessment, etc. from HMRC (*Her Majesty's Revenue and Customs* - the UK's principal tax authority) are appealable, ie. you can refer them to the tax tribunal.


I was incorrectly charged late interest, which apparently is not charged through a formal decision, but ""statutorily"". Because of that, the tax tribunal doesn't have jurisdiction over that.


Is there a different mechanism for legal redress in cases where the dispute with HMRC is not over an appealable decision?",law,0
